,Rank,Stock_id,Company_name,Proportion
521,522,8271,宇瞻,0.000152
522,523,2012,春雨,0.000152
523,524,5525,順天,0.000151
524,525,1611,中電,0.00015
525,526,3257,虹冠電,0.00015
526,527,2841,台開,0.00015
527,528,2467,志聖,0.000149
528,529,2013,中鋼構,0.000149
529,530,4942,嘉彰,0.00014800000000000002
530,531,8427,基勝-KY,0.000146
531,532,2314,台揚,0.000146
532,533,3266,昇陽,0.000146
533,534,3062,建漢,0.000145
534,535,5538,東明-KY,0.000145
535,536,5907,大洋-KY,0.000144
536,537,2436,偉詮電,0.000144
537,538,2612,中航,0.000143
538,539,2342,茂矽,0.000142
539,540,1730,花仙子,0.000142
540,541,4439,冠星-KY,0.00014099999999999998
541,542,1309,台達化,0.00014000000000000001
542,543,2419,仲琦,0.00014000000000000001
543,544,1521,大億,0.000138
544,545,2540,愛山林,0.000137
545,546,2466,冠西電,0.000137
546,547,4755,三福化,0.000137
547,548,4961,天鈺,0.000137
548,549,8466,美吉吉-KY,0.000136
549,550,9934,成霖,0.000136
550,551,2538,基泰,0.000136
551,552,1762,中化生,0.000136
552,553,1514,亞力,0.000134
553,554,3015,全漢,0.00013299999999999998
554,555,5533,皇鼎,0.00013299999999999998
555,556,2530,華建,0.000132
556,557,2459,敦吉,0.000132
557,558,1338,廣華-KY,0.000132
558,559,2109,華豐,0.000132
559,560,1455,集盛,0.00013
560,561,4133,亞諾法,0.00013
561,562,1437,勤益控,0.000129
562,563,2477,美隆電,0.000129
563,564,3029,零壹,0.000129
564,565,2852,第一保,0.000128
565,566,2546,根基,0.000128
566,567,2616,山隆,0.000127
567,568,2509,全坤建,0.000126
568,569,5521,工信,0.000126
569,570,9931,欣高,0.000126
570,571,2816,旺旺保,0.000125
571,572,3028,增你強,0.000124
572,573,1460,宏遠,0.000124
573,574,1535,中宇,0.000124
574,575,4552,力達-KY,0.000124
575,576,4912,聯德控股-KY,0.000123
576,577,4737,華廣,0.000123
577,578,4960,誠美材,0.000123
578,579,2402,毅嘉,0.000123
579,580,2426,鼎元,0.00012200000000000001
